Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,rural,Drinking water,2013,32.12474,182567863.17057,Basic service
who,Africa,urban,Drinking water,2013,32.39997,117525789.55114,Basic service
who,Africa,total,Drinking water,2013,11.43762,106489264.32002,Limited service
who,Africa,rural,Drinking water,2013,13.80579,78459587.87123,Limited service
who,Africa,urban,Drinking water,2013,7.72733,28029676.68554,Limited service
who,Africa,total,Drinking water,2013,26.96681,251072800.29902,Safely managed service
who,Africa,rural,Drinking water,2013,11.32491,64360537.42542,Safely managed service
who,Africa,urban,Drinking water,2013,51.47356,186712258.83133,Safely managed service
who,Africa,total,Drinking water,2013,10.49513,97714215.78853,Surface water
who,Africa,rural,Drinking water,2013,15.9273,90516301.54083,Surface water
who,Africa,urban,Drinking water,2013,1.98435,7197915.17061,Surface water
who,Africa,total,Drinking water,2013,18.86847,175673663.06823,Unimproved
who,Africa,rural,Drinking water,2013,26.81727,152405022.22894,Unimproved
who,Africa,urban,Drinking water,2013,6.41479,23268639.68337,Unimproved
who,Africa,total,Drinking water,2014,32.40004,309899958.14731,Basic service
who,Africa,rural,Drinking water,2014,32.61383,188768022.76276,Basic service
who,Africa,urban,Drinking water,2014,32.07241,121131934.98952,Basic service
who,Africa,total,Drinking water,2014,11.58783,110835285.93609,Limited service
who,Africa,rural,Drinking water,2014,14.20797,82235368.32984,Limited service
who,Africa,urban,Drinking water,2014,7.57247,28599917.50802,Limited service
who,Africa,total,Drinking water,2014,27.77174,265631121.39675,Safely managed service
who,Africa,rural,Drinking water,2014,11.75054,68011830.45882,Safely managed service
who,Africa,urban,Drinking water,2014,52.32416,197619290.3251,Safely managed service
who,Africa,total,Drinking water,2014,9.92053,94887909.11362,Surface water
who,Africa,rural,Drinking water,2014,15.18665,87899919.25112,Surface water
who,Africa,urban,Drinking water,2014,1.85023,6987989.82955,Surface water
who,Africa,total,Drinking water,2014,18.31986,175225830.30526,Unimproved
who,Africa,rural,Drinking water,2014,26.24101,151882283.33645,Unimproved
who,Africa,urban,Drinking water,2014,6.18073,23343548.11381,Unimproved
who,Africa,total,Drinking water,2015,32.5509,319807619.03286,Basic service
who,Africa,rural,Drinking water,2015,33.09225,195023550.9447,Basic service
who,Africa,urban,Drinking water,2015,31.73941,124784067.54077,Basic service
who,Africa,total,Drinking water,2015,11.72987,115244171.02954,Limited service
who,Africa,rural,Drinking water,2015,14.61101,86107496.52061,Limited service
who,Africa,urban,Drinking water,2015,7.41105,29136674.18029,Limited service
who,Africa,total,Drinking water,2015,28.59701,280961281.25041,Safely managed service
who,Africa,rural,Drinking water,2015,12.19032,71841572.57035,Safely managed service
who,Africa,urban,Drinking water,2015,53.19057,209119709.02681,Safely managed service
who,Africa,total,Drinking water,2015,9.35122,91874278.38475,Surface water
who,Africa,rural,Drinking water,2015,14.44571,85133347.81809,Surface water
who,Africa,urban,Drinking water,2015,1.71459,6740930.16753,Surface water
who,Africa,total,Drinking water,2015,17.77101,174597427.40047,Unimproved
