Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,Africa,urban,Sanitation,2018,22.22591,98389243.45506,Basic service
who,Africa,total,Sanitation,2018,17.96825,191135500.11703,Limited service
who,Africa,rural,Sanitation,2018,9.15247,56842532.48319,Limited service
who,Africa,urban,Sanitation,2018,30.33648,134292969.57529,Limited service
who,Africa,total,Sanitation,2018,18.51028,196901361.86644,Open defecation
who,Africa,rural,Sanitation,2018,27.87992,173151639.34615,Open defecation
who,Africa,urban,Sanitation,2018,5.36501,23749721.28703,Open defecation
who,Africa,total,Sanitation,2018,22.07185,234787172.41898,Safely managed service
who,Africa,rural,Sanitation,2018,19.3027,119881771.95803,Safely managed service
who,Africa,urban,Sanitation,2018,25.95687,114905401.43381,Safely managed service
who,Africa,total,Sanitation,2018,29.80119,317007272.8243,Unimproved
who,Africa,rural,Sanitation,2018,39.55585,245666443.2112,Unimproved
who,Africa,urban,Sanitation,2018,16.11573,71340828.29181,Unimproved
who,Africa,total,Sanitation,2019,11.82106,129057480.48409,Basic service
who,Africa,rural,Sanitation,2019,4.13894,26140132.07213,Basic service
who,Africa,urban,Sanitation,2019,22.36395,102917349.68119,Basic service
who,Africa,total,Sanitation,2019,18.14286,198076304.31007,Limited service
who,Africa,rural,Sanitation,2019,9.19743,58087859.53875,Limited service
who,Africa,urban,Sanitation,2019,30.41951,139988446.11154,Limited service
who,Africa,total,Sanitation,2019,17.85616,194946239.54681,Open defecation
who,Africa,rural,Sanitation,2019,27.08145,171037212.74078,Open defecation
who,Africa,urban,Sanitation,2019,5.19543,23909024.27625,Open defecation
who,Africa,total,Sanitation,2019,22.38739,244416319.96058,Safely managed service
who,Africa,rural,Sanitation,2019,19.57734,123643795.74298,Safely managed service
who,Africa,urban,Sanitation,2019,26.24389,120772524.11533,Safely managed service
who,Africa,total,Sanitation,2019,29.79252,325262516.69845,Unimproved
who,Africa,rural,Sanitation,2019,40.00483,252656864.00836,Unimproved
who,Africa,urban,Sanitation,2019,15.77722,72605653.17923,Unimproved
who,Africa,total,Sanitation,2020,11.96582,134036461.59682,Basic service
who,Africa,rural,Sanitation,2020,4.14798,26628945.32015,Basic service
who,Africa,urban,Sanitation,2020,22.46139,107407517.79711,Basic service
who,Africa,total,Sanitation,2020,18.26415,204587902.59542,Limited service
who,Africa,rural,Sanitation,2020,9.20696,59106287.99449,Limited service
who,Africa,urban,Sanitation,2020,30.42357,145481616.54301,Limited service
who,Africa,total,Sanitation,2020,17.23044,193008700.92103,Open defecation
who,Africa,rural,Sanitation,2020,26.29929,168834590.68237,Open defecation
who,Africa,urban,Sanitation,2020,5.05536,24174109.75591,Open defecation
who,Africa,total,Sanitation,2020,22.61826,253361041.42496,Safely managed service
who,Africa,rural,Sanitation,2020,19.75815,126842175.24852,Safely managed service
who,Africa,urban,Sanitation,2020,26.45802,126518867.48268,Safely managed service
who,Africa,total,Sanitation,2020,29.92133,335167159.96065,Unimproved
who,Africa,rural,Sanitation,2020,40.58763,260562009.23747,Unimproved
who,Africa,urban,Sanitation,2020,15.60166,74605145.82977,Unimproved
who,Americas,rural,Sanitation,2000,65.45881,126164917.83809,At least basic
who,Americas,total,Sanitation,2000,45.9079,380571313.42955,Basic service
who,Americas,urban,Sanitation,2000,43.37245,275956923.86582,Basic service
who,Americas,total,Sanitation,2000,3.27394,27140614.51311,Limited service
who,Americas,rural,Sanitation,2000,2.32611,4483332.66818,Limited service
who,Americas,urban,Sanitation,2000,3.56107,22657281.38847,Limited service
who,Americas,total,Sanitation,2000,6.0564,50206873.35693,Open defecation
who,Americas,rural,Sanitation,2000,19.4835,37552377.01922,Open defecation
