Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
who,South-East Asia,total,Hygiene,2019,2.83463,56747822.3931,No handwashing facility
who,South-East Asia,rural,Hygiene,2019,3.50229,43422799.38297,No handwashing facility
who,South-East Asia,urban,Hygiene,2019,1.74845,13325023.88193,No handwashing facility
who,South-East Asia,total,Hygiene,2020,71.46276,1444538638.78626,Basic service
who,South-East Asia,rural,Hygiene,2020,63.60177,789757037.32058,Basic service
who,South-East Asia,urban,Hygiene,2020,83.98244,654781556.3571,Basic service
who,South-East Asia,total,Hygiene,2020,25.76995,520910358.29293,Limited service
who,South-East Asia,rural,Hygiene,2020,32.96829,409374410.22445,Limited service
who,South-East Asia,urban,Hygiene,2020,14.30563,111535929.52015,Limited service
who,South-East Asia,total,Hygiene,2020,2.76729,55937633.57343,No handwashing facility
who,South-East Asia,rural,Hygiene,2020,3.42994,42590314.11498,No handwashing facility
who,South-East Asia,urban,Hygiene,2020,1.71193,13347317.49275,No handwashing facility
